actual_audience_size_number_of_participants_in_person,actual_audience_size_number_of_participants_online,airtable_id,end_date,event_name,event_type,event_unique_identifier,number_of_booked_participants,postcode_(from_venue),project_name,project_type,season,start_date,status,ticket_tailor_id,ward_(from_venue)
8.0,,2059,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2066,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2087,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2053,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2083,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2054,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2076,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2084,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2063,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2062,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2089,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2070,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2060,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
30.0,,2099,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
30.0,,2098,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2082,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2073,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2074,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
30.0,,2095,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2085,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2057,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2093,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2078,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2071,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2048,2023-06-21,Leeds Youth Music Festival Celebration Concert,['CLE - Creative Learning session'],General CLE: Leeds Youth Music Festival Celebration Concert,,['LS2 8BY'],General CLE,CLE,['Season 2 - Playing'],2023-06-21,01 - Greenlit,,['Little London and Woodhouse']
3.0,,2415,2023-06-21,Meet Me At The Zone,['CLE - Community Engagement session'],Hidden Stories: Meet Me At The Zone,,['LS17 7HR'],Hidden Stories,CLE,,2023-06-21,01 - Greenlit,,['Alwoodley']
59.0,,1714,,Schools Workshop,['CLE - Creative Learning session'],07 - Children's Day: Schools Workshop,59.0,,07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-06-21,01 - Greenlit,,
53508.0,,411,2023-10-22,Afra Eisma,['Public Event - Exhibition'],The Tetley: Afra Eisma,,['LS10 1JQ'],The Tetley,Promote,"['Season 2 - Playing', 'Season 3 - Dreaming']",2023-06-23,01 - Greenlit,,['Hunslet and Riverside']
3500.0,,1769,2023-06-24,My LEEDS Summer: Beeston and Holbeck Part 1/2 - Beeston Festival,['Public Event - Performance'],12 - My LEEDS 2023: My LEEDS Summer: Beeston and Holbeck Part 1/2 - Beeston Festival,,['LS11 7BQ'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-06-24,01 - Greenlit,,['Beeston and Holbeck']
500.0,,418,2023-06-24,"My LEEDS Summer: Crossgates and Whinmoor Celebrates our Past, Present and Future",['Public Event - Performance'],"12 - My LEEDS 2023: My LEEDS Summer: Crossgates and Whinmoor Celebrates our Past, Present and Future",,['LS15 8ET'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-06-24,01 - Greenlit,,['Cross Gates and Whinmoor']
1500.0,,417,2023-06-24,My LEEDS Summer: Moortown Picnic in the Park,['Public Event - Performance'],12 - My LEEDS 2023: My LEEDS Summer: Moortown Picnic in the Park,,['LS17 6DP'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-06-24,01 - Greenlit,,['Moortown']
,,1126,2023-06-27,Digital Upskilling Workshop 13/20,['CLE - Skills and Talent session'],Creative Learning S2: Digital Upskilling Workshop 13/20,,,Creative Learning S2,CLE,['Season 2 - Playing'],2023-06-27,01 - Greenlit,,
35.0,,2394,2023-06-28,City Stories: Common Ground - Calling Up Ceremony ,['CLE - Community Engagement session'],Hidden Stories: City Stories: Common Ground - Calling Up Ceremony ,,['LS178DW'],Hidden Stories,CLE,,2023-06-28,01 - Greenlit,,['Alwoodley']
800.0,,2403,2023-06-28,City Stories: Common Ground - Eid (Second Eid),['CLE - Community Engagement session'],Hidden Stories: City Stories: Common Ground - Eid (Second Eid),,['LS8'],Hidden Stories,CLE,,2023-06-28,01 - Greenlit,,['Chapel Allerton']
50.0,,2405,2023-06-28,City Stories: Common Ground - Formal Portraits,['CLE - Community Engagement session'],Hidden Stories: City Stories: Common Ground - Formal Portraits,,['LS8'],Hidden Stories,CLE,,2023-06-28,01 - Greenlit,,['Chapel Allerton']
85.0,,401,2023-06-28,Feel the Music,"['CLE - Creative Learning session', 'Public Event - Performance']",CLE - Feel the Music: Feel the Music,,['LS2 7BS'],CLE - Feel the Music,CLE,['Season 2 - Playing'],2023-06-28,01 - Greenlit,,['Little London and Woodhouse']
12.0,,1593,2023-06-28,How to Manage Stress Session,['Public Event - Large Scale Outdoor Event'],02 - Making A Stand: How to Manage Stress Session,,['LS1 2HA'],02 - Making A Stand,Produce (Signature),['Season 2 - Playing'],2023-06-28,01 - Greenlit,,['Little London and Woodhouse']
20.0,,2416,2023-06-28,Meet Me At The Zone,['CLE - Community Engagement session'],Hidden Stories: Meet Me At The Zone,,['LS17 7HR'],Hidden Stories,CLE,,2023-06-28,01 - Greenlit,,['Alwoodley']
10.0,,1592,2023-06-28,Mill Hill Chapel Meditation Session,['Public Event - Large Scale Outdoor Event'],02 - Making A Stand: Mill Hill Chapel Meditation Session,,['LS1 2HA'],02 - Making A Stand,Produce (Signature),['Season 2 - Playing'],2023-06-28,01 - Greenlit,,['Little London and Woodhouse']
20.0,,1594,2023-06-28,Mindful Movement Session,['Public Event - Large Scale Outdoor Event'],02 - Making A Stand: Mindful Movement Session,,['LS1 2HA'],02 - Making A Stand,Produce (Signature),['Season 2 - Playing'],2023-06-28,01 - Greenlit,,['Little London and Woodhouse']
8.0,,818,2023-06-28,Yoga Session,['Public Event - Large Scale Outdoor Event'],02 - Making A Stand: Yoga Session,,['LS1 2HA'],02 - Making A Stand,Produce (Signature),['Season 2 - Playing'],2023-06-28,01 - Greenlit,,['Little London and Woodhouse']
9.0,,1268,2023-06-29,Animated Harehills,['CLE - Community Engagement session'],12 - My LEEDS 2023: Animated Harehills,,['LS9 7LN'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-06-29,01 - Greenlit,,
14.0,,1522,2023-06-29,Audio Described (AD) Tour,['Public Event - Talk / Tour'],02 - Making A Stand: Audio Described (AD) Tour,,['LS1 2HA'],02 - Making A Stand,Produce (Signature),['Season 2 - Playing'],2023-06-29,01 - Greenlit,,['Little London and Woodhouse']
6.0,,1523,2023-06-29,Audio Described (AD) Tour,['Public Event - Talk / Tour'],02 - Making A Stand: Audio Described (AD) Tour,,['LS1 2HA'],02 - Making A Stand,Produce (Signature),['Season 2 - Playing'],2023-06-29,01 - Greenlit,,['Little London and Woodhouse']
10.0,,603,2023-06-29,Audio Described (AD) Tour,['Public Event - Talk / Tour'],02 - Making A Stand: Audio Described (AD) Tour,,['LS1 2HA'],02 - Making A Stand,Produce (Signature),['Season 2 - Playing'],2023-06-29,01 - Greenlit,ev_2667173,['Little London and Woodhouse']
100.0,,2397,2023-06-29,City Stories: Common Ground - Barmitzvah party ,['CLE - Community Engagement session'],Hidden Stories: City Stories: Common Ground - Barmitzvah party ,,['LS178DW'],Hidden Stories,CLE,,2023-06-29,01 - Greenlit,,['Alwoodley']
4.0,,2395,2023-06-29,City Stories: Common Ground - Barmitzvah rehearsal,['CLE - Community Engagement session'],Hidden Stories: City Stories: Common Ground - Barmitzvah rehearsal,,['LS178DW'],Hidden Stories,CLE,,2023-06-29,01 - Greenlit,,['Alwoodley']
18.0,,1590,2023-06-29,Volunteer-Led Tour,['Public Event - Talk / Tour'],02 - Making A Stand: Volunteer-Led Tour,,['LS1 2HA'],02 - Making A Stand,Produce (Signature),['Season 2 - Playing'],2023-06-29,01 - Greenlit,,['Little London and Woodhouse']
24.0,12.0,599,2023-06-29,Volunteer-led Tour,['Public Event - Talk / Tour'],02 - Making A Stand: Volunteer-led Tour,,['LS1 2HA'],02 - Making A Stand,Produce (Signature),['Season 2 - Playing'],2023-06-29,01 - Greenlit,,['Little London and Woodhouse']
8.0,,2398,2023-06-30,City Stories: Common Ground - Formal Portraits (Jewish) ,['CLE - Community Engagement session'],Hidden Stories: City Stories: Common Ground - Formal Portraits (Jewish) ,,['LS178DW'],Hidden Stories,CLE,,2023-06-30,01 - Greenlit,,['Alwoodley']
4.0,,1777,2023-06-30,Leeds Beckett Curriculum of Life Workshop,['CLE - Youth Voice session'],CLE - Youth Voice Programmes: Leeds Beckett Curriculum of Life Workshop,,['LS1 3HE'],CLE - Youth Voice Programmes,CLE,['Season 2 - Playing'],2023-06-30,01 - Greenlit,,['Little London and Woodhouse']
200.0,,1823,2023-06-30,School grant - Harewood CE Primary School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - Harewood CE Primary School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-06-30,01 - Greenlit,,
400.0,,1768,2023-07-01,My LEEDS Summer: Beeston and Holbeck Part 2/2 Holbeck Festival ,['Public Event - Performance'],12 - My LEEDS 2023: My LEEDS Summer: Beeston and Holbeck Part 2/2 Holbeck Festival ,,['LS11 7BQ'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-07-01,01 - Greenlit,,['Beeston and Holbeck']
250.0,,423,2023-07-01,My LEEDS Summer: Our Horsforth - Cultural Exchange Hub ,['Public Event - Performance'],12 - My LEEDS 2023: My LEEDS Summer: Our Horsforth - Cultural Exchange Hub ,,['LS9 0BA'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-07-01,01 - Greenlit,,['Horsforth']
2350.0,,422,2023-07-01,My LEEDS Summer: Wetherby Drovers Day,['Public Event - Performance'],12 - My LEEDS 2023: My LEEDS Summer: Wetherby Drovers Day,,['LS22 6NE'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-07-01,01 - Greenlit,,['Wetherby']
14.0,,1719,2023-07-31,The Nice Up Youth Workshops Programme ,"['CLE - Community Engagement session', 'CLE - Skills and Talent session']",06 - Hibiscus Rising: The Nice Up Youth Workshops Programme ,,['LS10 1JQ'],06 - Hibiscus Rising,Produce (Signature),['Season 2 - Playing'],2023-07-01,01 - Greenlit,,['Hunslet and Riverside']
300.0,,425,2023-07-02,My LEEDS Summer: Guiseley and Rawdon Feast,['Public Event - Performance'],12 - My LEEDS 2023: My LEEDS Summer: Guiseley and Rawdon Feast,,['LS19 7TP'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-07-02,01 - Greenlit,,['Guiseley and Rawdon']
3154.0,,424,2023-07-02,My LEEDS Summer: Temple Newsam: Our Community Together,['Public Event - Performance'],12 - My LEEDS 2023: My LEEDS Summer: Temple Newsam: Our Community Together,,['LS15 0AE'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-07-02,01 - Greenlit,,['Temple Newsam']
3.0,,1226,2023-09-30,Youth Fund: Young Grantee Project Delivery,['CLE - Youth Voice session'],CLE - Youth Voice Programmes: Youth Fund: Young Grantee Project Delivery,,,CLE - Youth Voice Programmes,CLE,"['Season 3 - Dreaming', 'Season 2 - Playing']",2023-07-02,01 - Greenlit,,
7.0,,1849,2023-07-03,Leeds Book Awards Oracy Project: Pudsey Grammar School,['CLE - Community Engagement session'],Creative Learning S2: Leeds Book Awards Oracy Project: Pudsey Grammar School,,,Creative Learning S2,CLE,['Season 2 - Playing'],2023-07-03,01 - Greenlit,,
2.0,,1908,2023-07-05,This is a Forest: Under Our Feet (Schools Programme) CPD Level 1 Forest Schools training ,['CLE - Creative Learning session'],04 - This is a FOREST: This is a Forest: Under Our Feet (Schools Programme) CPD Level 1 Forest Schools training ,,['LS10 1RS'],04 - This is a FOREST,Produce (Signature),['Season 2 - Playing'],2023-07-03,01 - Greenlit,,['Burmantofts and Richmond Hill']
1.0,,1912,2023-07-05,Under Our Feet (Schools Programme) CPD Level 1 Forest Schools training ,['CLE - Creative Learning session'],04 - This is a FOREST: Under Our Feet (Schools Programme) CPD Level 1 Forest Schools training ,,['LS10 1RS'],04 - This is a FOREST,Produce (Signature),['Season 2 - Playing'],2023-07-03,01 - Greenlit,,['Burmantofts and Richmond Hill']
1.0,,1910,2023-07-05,Under Our Feet (Schools Programme) CPD Level 1 Forest Schools training ,['CLE - Creative Learning session'],04 - This is a FOREST: Under Our Feet (Schools Programme) CPD Level 1 Forest Schools training ,,['LS10 1RS'],04 - This is a FOREST,Produce (Signature),['Season 2 - Playing'],2023-07-03,01 - Greenlit,,['Burmantofts and Richmond Hill']
1.0,,1909,2023-07-05,Under Our Feet (Schools Programme) CPD Level 1 Forest Schools training ,['CLE - Creative Learning session'],04 - This is a FOREST: Under Our Feet (Schools Programme) CPD Level 1 Forest Schools training ,,['LS10 1RS'],04 - This is a FOREST,Produce (Signature),['Season 2 - Playing'],2023-07-03,01 - Greenlit,,['Burmantofts and Richmond Hill']
1.0,,1913,2023-07-05,Under Our Feet (Schools Programme) CPD Level 1 Forest Schools training ,['CLE - Creative Learning session'],04 - This is a FOREST: Under Our Feet (Schools Programme) CPD Level 1 Forest Schools training ,,['LS10 1RS'],04 - This is a FOREST,Produce (Signature),['Season 2 - Playing'],2023-07-03,01 - Greenlit,,['Burmantofts and Richmond Hill']
1.0,,1911,2023-07-05,Under Our Feet (Schools Programme) CPD Level 1 Forest Schools training ,['CLE - Creative Learning session'],04 - This is a FOREST: Under Our Feet (Schools Programme) CPD Level 1 Forest Schools training ,,['LS10 1RS'],04 - This is a FOREST,Produce (Signature),['Season 2 - Playing'],2023-07-03,01 - Greenlit,,['Burmantofts and Richmond Hill']
15.0,,2409,2023-07-05,City Stories: Common Ground - Formal Portraits ,['CLE - Community Engagement session'],Hidden Stories: City Stories: Common Ground - Formal Portraits ,,['LS85AW'],Hidden Stories,CLE,,2023-07-05,01 - Greenlit,,['Gipton and Harehills']
50.0,,2408,2023-07-12,City Stories: Common Ground - Photography session ,['CLE - Community Engagement session'],Hidden Stories: City Stories: Common Ground - Photography session ,,['LS85AW'],Hidden Stories,CLE,,2023-07-05,01 - Greenlit,,['Gipton and Harehills']
7.0,,1850,2023-07-05,Leeds Book Awards Oracy Project: Ashfield Primary,['CLE - Community Engagement session'],Creative Learning S2: Leeds Book Awards Oracy Project: Ashfield Primary,,,Creative Learning S2,CLE,['Season 2 - Playing'],2023-07-05,01 - Greenlit,,
20.0,,2417,2023-07-05,Meet Me At The Zone,['CLE - Community Engagement session'],Hidden Stories: Meet Me At The Zone,,['LS17 7HR'],Hidden Stories,CLE,,2023-07-05,01 - Greenlit,,['Alwoodley']
7.0,,1851,2023-07-06,Leeds Book Awards Oracy Project: Greenmount Primary,['CLE - Community Engagement session'],Creative Learning S2: Leeds Book Awards Oracy Project: Greenmount Primary,,,Creative Learning S2,CLE,['Season 2 - Playing'],2023-07-06,01 - Greenlit,,
100.0,,426,2023-07-06,My LEEDS Summer: Otley & Yeadon: Heritage Live ,['Public Event - Performance'],12 - My LEEDS 2023: My LEEDS Summer: Otley & Yeadon: Heritage Live ,,"['LS21 3AN', 'LS21 3AB']",12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-07-06,01 - Greenlit,,"['Otley and Yeadon', 'Otley and Yeadon']"
11.0,,1776,2023-07-06,NEST: Theatre Show Trip ,"['CLE - Skills and Talent session', 'CLE - Participant / Volunteer thank you event']",10 - Nest: NEST: Theatre Show Trip ,,['LS2 7UP'],10 - Nest,Produce (Signature),['Season 2 - Playing'],2023-07-06,01 - Greenlit,,['Little London and Woodhouse']
420.0,,1831,2023-07-06,School grant - New Bewerley Community School,['CLE - Creative Learning session'],12 - My LEEDS 2023: School grant - New Bewerley Community School,,,12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-07-06,01 - Greenlit,,
180.0,,1780,2023-07-07,Noah's Flood: School,['CLE - Creative Learning session'],"Slung Low, Noah's Flood: Noah's Flood: School",,[' LS11 9RQ'],"Slung Low, Noah's Flood",CLE,['Season 2 - Playing'],2023-07-07,01 - Greenlit,,['Beeston and Holbeck']
200.0,,284,2023-07-08,"""70 x 7: The Meal"": Harewood Big Picnic","['Public Event - Large Scale Outdoor Event', 'CLE - Community Engagement session']","Hidden Stories: ""70 x 7: The Meal"": Harewood Big Picnic",,['LS17 9LG'],Hidden Stories,CLE,['Season 2 - Playing'],2023-07-08,01 - Greenlit,,['Harewood']
29359.0,,2377,2023-10-31,"""70 x 7: The Meal"": Seeds Exhibition ","['CLE - Community Engagement session', 'Public Event - Exhibition']","Hidden Stories: ""70 x 7: The Meal"": Seeds Exhibition ",,['LS17 9LG'],Hidden Stories,CLE,['Season 2 - Playing'],2023-07-08,01 - Greenlit,,['Harewood']
78.0,,1770,2023-07-08,African and Caribbean Enterprise ,"['CLE - Skills and Talent session', 'CLE - Community Engagement session']",12 - My LEEDS 2023: African and Caribbean Enterprise ,,['LS1 3HE'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-07-08,01 - Greenlit,,['Little London and Woodhouse']
240.0,,428,2023-07-08,My LEEDS Summer: Gipton & Harehills,['Public Event - Performance'],12 - My LEEDS 2023: My LEEDS Summer: Gipton & Harehills,,"['LS9 6NL', 'LS9 7BG']",12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-07-08,01 - Greenlit,,"['Gipton and Harehills', 'Gipton and Harehills']"
500.0,,430,2023-07-09,My LEEDS Summer: Alwoodley Festival of Sport and Games ,['Public Event - Performance'],12 - My LEEDS 2023: My LEEDS Summer: Alwoodley Festival of Sport and Games ,,"['LS17 7NZ', 'LS17 7PF', 'LS17 5HX', 'LS17 7HL', 'LS17 7AG', 'LS17 7NA', 'LS17 5PR', 'LS17 7NT', 'LS17 7NZ', 'LS17 7NT', 'LS17 6AZ']",12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-07-09,01 - Greenlit,ev_2605929,"['Alwoodley', 'Alwoodley', 'Alwoodley', 'Alwoodley', 'Alwoodley', 'Alwoodley', 'Alwoodley', 'Alwoodley', 'Alwoodley', 'Moortown']"
500.0,,432,2023-07-09,My LEEDS Summer: Ardsley & Robin Hood Celebrate our Talents! ,['Public Event - Performance'],12 - My LEEDS 2023: My LEEDS Summer: Ardsley & Robin Hood Celebrate our Talents! ,,['WF3 3BG'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-07-09,01 - Greenlit,,['Ardsley and Robin Hood']
275.0,,431,2023-07-09,My LEEDS Summer: Harewood The BIG My Leeds Summer Picnic with Leeds 2023,['Public Event - Performance'],12 - My LEEDS 2023: My LEEDS Summer: Harewood The BIG My Leeds Summer Picnic with Leeds 2023,,"['LS17 9LG', ' LS14 3EY']",12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-07-09,01 - Greenlit,,"['Harewood', 'Harewood']"
50.0,,1717,2023-07-09,Poets Rising ,"['CLE - Community Engagement session', 'Public Event - Performance']",06 - Hibiscus Rising: Poets Rising ,,['LS10 1JQ'],06 - Hibiscus Rising,Produce (Signature),['Season 2 - Playing'],2023-07-09,01 - Greenlit,,['Hunslet and Riverside']
100.0,,1771,2023-07-09,Step into Africa,['CLE - Community Engagement session'],12 - My LEEDS 2023: Step into Africa,,['LS18 5HD'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2023-07-09,01 - Greenlit,,['Horsforth']
60.0,,1772,2023-07-10,Anthology Launch ,['CLE - Community Engagement session'],12 - My LEEDS 2023: Anthology Launch ,,['LS7 3EX'],12 - My LEEDS 2023,Produce (Signature),,2023-07-10,01 - Greenlit,,
265.0,,1773,2023-07-14,Cinema Africa ,['CLE - Community Engagement session'],12 - My LEEDS 2023: Cinema Africa ,,['LS6 1JD'],12 - My LEEDS 2023,Produce (Signature),,2023-07-11,01 - Greenlit,,['Headingley and Hyde Park']
7.0,,1852,2023-07-11,Leeds Book Awards Oracy Project: Blenheim Primary,['CLE - Community Engagement session'],Creative Learning S2: Leeds Book Awards Oracy Project: Blenheim Primary,,,Creative Learning S2,CLE,['Season 2 - Playing'],2023-07-11,01 - Greenlit,,
30.0,,1848,2023-07-11,Leeds Young Film Programmers: Cockburn John Charles Academy,['CLE - Creative Learning session'],Creative Learning S1: Leeds Young Film Programmers: Cockburn John Charles Academy,,['LS10 2JU'],Creative Learning S1,CLE,"['Season 1 - Awakening', 'Season 2 - Playing']",2023-07-11,01 - Greenlit,,['Middleton Park']
20.0,,2418,2023-07-12,Meet Me At The Zone,['CLE - Community Engagement session'],Hidden Stories: Meet Me At The Zone,,['LS17 7HR'],Hidden Stories,CLE,,2023-07-12,01 - Greenlit,,['Alwoodley']
7.0,,243,2023-07-12,NEST: Protagonist Auditions 2nd Round,"['CLE - Skills and Talent session', 'CLE - Participant / Volunteer thank you event']",10 - Nest: NEST: Protagonist Auditions 2nd Round,,['LS10 1NE'],10 - Nest,Produce (Signature),['Season 1 - Awakening'],2023-07-12,01 - Greenlit,,['Hunslet and Riverside']
6.0,,2459,2023-07-13,Animated Harehills,['CLE - Community Engagement session'],12 - My LEEDS 2023: Animated Harehills,,['LS9 7LN'],12 - My LEEDS 2023,Produce (Signature),['Season 3 - Dreaming'],2023-07-13,01 - Greenlit,,
250.0,,1774,2023-07-13,Jollof Cook Off,['CLE - Community Engagement session'],12 - My LEEDS 2023: Jollof Cook Off,,['LS10 1JY'],12 - My LEEDS 2023,Produce (Signature),,2023-07-13,01 - Greenlit,,
1050.0,,218,2023-07-14,Children's Day Event Day,['Public Event - Large Scale Outdoor Event'],07 - Children's Day: Children's Day Event Day,,['LS8 1DF'],07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-07-14,01 - Greenlit,"ev_2240951, ev_2690524, ev_2963290, ev_2963295, ev_2963296, ev_2963297",['Roundhay']
517.0,,2455,2023-07-14,Children's Day: Reimagined Schools event - DAYTIME,['CLE - Creative Learning session'],07 - Children's Day: Children's Day: Reimagined Schools event - DAYTIME,,['LS8 1DF'],07 - Children's Day,Produce (Signature),['Season 2 - Playing'],2023-07-14,01 - Greenlit,,['Roundhay']
6.0,,1127,2023-07-14,Digital Upskilling Workshop 14/20,['CLE - Skills and Talent session'],Creative Learning S2: Digital Upskilling Workshop 14/20,,['LS25 1EH'],Creative Learning S2,CLE,['Season 2 - Playing'],2023-07-14,01 - Greenlit,,['Garforth and Swillington']
